제목
우리 아기 알록달록 색깔 촉감책
안녕 내 친구 코야 감각 자극 오감 발달 아기 헝겊책
시원한 바닷가 사운드북우리 아기 오감발달보드북  
우정 그림책
뽀로로 쉑쉑 사운드북 바나나차차
응가안녕
재밌다 스티커북 만 세 세트 전권
아기 초점책 세트 전권
우리 아기 오감발달 칙칙폭폭 기차 사운드북
한글홈스쿨 만 세 세트 전권
아기지능방 물속동물 퍼즐 우리아이 처음하는
모여라 농장 동물 소리 나는 촉감 사진책
고래야 놀자 손바닥 사운드북
우리 아기 알록달록 꽃밭 촉감책
우리 아기 알록달록 입체 촉감책
율동 놀이 동요 튤립 사운드북
멜로디 봉봉 자장가 동요
우리 아기 오감발달 동물 농장 사운드북
랄랄라 사운드 벽보  구구단
한글 낱말 카드 진짜 진짜 생생한 카드
짠 까꿍 놀이
우리 아기 오감발달 소곤소곤 한밤중 사운드북
우리 아기 첫 손가락 놀이책 동물원
또 누구게
타이거스쿨 만세 선긋기 직선 곡선 도형 사물 선 긋기
눈 코 입
표정으로 배우는 ㄱㄴㄷ
우리 아기 오감발달 시끌벅적 정글 사운드북
우리 아기 오감발달 알록달록 꽃밭 사운드북
우리 아기 클래식 자장가 사운드북
핑크퐁 마트놀이 스티커 핑크퐁 마트놀이 스티커  붙였다 떼었다 안심 스티커 개
핑크퐁 공룡 스티커 핑크퐁 공룡 스티커  붙였다 떼었다 안심 스티커 개
가나다는 맛있다
우리 아기 첫 오감발달 헝겊책
우리 아기 첫 보들보들 촉감책 색깔
핑크퐁 사운드북 한글가방
똑똑 누구세요 웅진 세계그림책    
모두 모여 후생일 케이크 사운드토이북
부릉부릉 탈것 사운드북
베이비 초점책 울타리 반짝반짝 사운드북
달님 안녕 시리즈 세트 하야시 아키코 시리즈
지능업 만세 세트 전권
지능업 만세 선긋기
지능업 만세 첫크레용
빠이빠이 기저귀 토이북 보물창고 
하루 분 워크북 세 유치원에서 배운 누리과정 집에서 꼼꼼하게 한 번 더
둥둥둥 북치고 랄랄라
강아지는 멍멍 오리는 꽥꽥 소리나는 동물 사진책
사랑해 사랑해 우리 아가
숲 속 작은 집 창가에
영재의 탄생 만세 창의력을 키우는 미국식 유아 학습지
무지개 물고기야 엄마가 지켜 줄게 네버랜드 세계의 걸작 그림책 
개구쟁이 ㄱㄴㄷ
요렇게 해봐요 내 몸으로 ㄱㄴㄷ
애플비 미니 팝업북 세트
울지 말고 말하렴 베이비 커뮤니케이션
나는 내가 좋아요
아빠한테 찰딱 보드북
뒹굴뒹굴 짝짝
